,Job Title,Job Type,Company Name,Posted Date,Cities,States,Stipend,Start Date,Duration,Numer of Openings,Late date to apply
1819,SWACCH BHARAT MISSION,Part Time,Nagar Panchayat Jaithara,09-05-2023,Etah,Uttar Pradesh,Unpaid,Immediately,2 Months,1,15-05-2023
1820,SWACHH BHARAT MISSION INTERN (IEC),Full Time,NAGAR PALIKA PARISHAD KIRATPUR,09-05-2023,Bijnore,Uttar Pradesh,Unpaid,Immediately,2 Months,1,25-05-2023
1821,IEC FOR SOLID WASTE MANAGEMENT GUNTUR,Full Time,Guntur Municipal corporation,09-05-2023,Guntur,Andhra Pradesh,Unpaid,Immediately,2 Months,10,25-07-2023
1822,COMPUTER OPERATOR(INTERN),Part Time,Nagar Palika Parishad Bachhraon,09-05-2023,Amroha,Uttar Pradesh,Unpaid,Immediately,2 Months,1,30-05-2023
1823,CLEAN CITY,Full Time,NAGAR PALIKA PARISHAD BALLIA,09-05-2023,Ballia,Uttar Pradesh,Unpaid,Immediately,1 Months,1,09-05-2023
1824,SBM INTERNSHIP,Full Time,Nagar palika parishad chhibramau,09-05-2023,Kannauj,Uttar Pradesh,Unpaid,Immediately,1 Months,1,15-05-2023
1825,SBM INTERNSHIP,Part Time,nagar panchyat koraon prayagraj,09-05-2023,Allahabad,Uttar Pradesh,Unpaid,Immediately,1 Months,11,30-06-2023
1826,SWACCH BHARAT MISSION URBAN INTERNSHIP,Full Time,Saharanpur Smart City ltd.,09-05-2023,Saharanpur,Uttar Pradesh,8000 /month,Immediately,3 Months,6,14-05-2023
1827,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Palika Parishad Najibabad,09-05-2023,Najibabad,Uttar Pradesh,10000 /month,Immediately,3 Months,2,31-12-2024
1828,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Palika Parishad Najibabad,09-05-2023,Najibabad,Uttar Pradesh,Unpaid,Immediately,2 Months,1,30-12-2024
1829,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Part Time,NAGAR PANCHAYAT USHAIT,09-05-2023,Budaun,Uttar Pradesh,Unpaid,Immediately,2 Months,1,25-05-2023
1830,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Part Time,Np Alapur,09-05-2023,Badaun,Uttar Pradesh,Unpaid,Immediately,2 Months,1,25-05-2023
1831,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Full Time,NP Kunwargaon,09-05-2023,Badaun,Uttar Pradesh,Unpaid,Immediately,2 Months,1,31-05-2023
1832,SOLID WASTE MANAGEMENT EXPERT,Full Time,Sanawad Municipal Council,09-05-2023,Khargone,Madhya Pradesh,12000 /month,Immediately,2 Months,1,01-12-2023
1833,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,NAGAR PANCHAYAT AMBEHTA,09-05-2023,Saharanpur,Uttar Pradesh,Unpaid,Immediately,1 Months,1,19-05-2023
1834,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Full Time,Nagar Palika parishad Colonelganj,09-05-2023,Gonda,Uttar Pradesh,Unpaid,Immediately,1 Months,2,17-06-2023
1835,INTERNS FOR IEC,Full Time,Nagar Nigam Agra,09-05-2023,Agra,Uttar Pradesh,Unpaid,Immediately,3 Months,20,30-05-2023
1836,COMMUNICATIOSBMN INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Full Time,Nagar Panchayat Paraspur Gonda,09-05-2023,Gonda,Uttar Pradesh,Unpaid,Immediately,1 Months,2,25-05-2023
1837,AWARENESS ON SOLID WASTE MANAGEMENT,Part Time,NAGAR PANCHAYAT BILSANDA,09-05-2023,Pilibhit,Uttar Pradesh,Unpaid,Immediately,12 Weeks,1,15-05-2023
1838,SANITATION AND SOLID WASTE MANAGEMENT INTERN,Full Time,Nagar Panchayt Chaumuhan Mathura,09-05-2023,Chaumuhan Mathura,Uttar Pradesh,Unpaid,Immediately,1 month,1,21-05-2023
1839,DATA ANALYSIS AND MANAGEMENT INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Panchayat Khetasarai,09-05-2023,Jaunpur,Uttar Pradesh,Unpaid,Immediately,1 Months,1,11-05-2023
1840,SANITATION AND SOLID WASTE MANAGEMENT INTERN,Full Time,Bajna Nagar Panchayt,09-05-2023,Mathura,Uttar Pradesh,Unpaid,Immediately,1 Months,1,28-05-2023
1841,SWACHH  BHARATH MISSION,Full Time,MUNICIPAL CORPORATION LUDHIANA,09-05-2023,Ludhiana,Punjab,12000 /month,Immediately,2 Months,20,25-06-2023
1842,SANITATION AND SOLID WASTE MANAGEMENT INTERN,Full Time,Gokul Nagar Panchayat,09-05-2023,Mathura,Uttar Pradesh,Unpaid,Immediately,1 Months,1,29-05-2023
1843,SANITATION AND SOLID WASTE MANAGEMENT INTERN,Part Time,Nagar Panchayat Chhata,09-05-2023,Chhata,Uttar Pradesh,Unpaid,Immediately,1 Months,1,21-05-2023
1844,SBM TECHNICAL TRAINEE,Full Time,Municipal Council Panagar district Jabalpur MP,09-05-2023,Jabalpur,Madhya Pradesh,Unpaid,Immediately,1 Months,1,25-05-2023
1845,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Part Time,Nagar Palika Parishad Amroha,09-05-2023,Amroha,Uttar Pradesh,Unpaid,Immediately,2 Months,5,22-05-2023
1846,COMPUTER OPERATOR(INTERN),Part Time,Nagar Palika Parishad Amroha,09-05-2023,Amroha,Uttar Pradesh,Unpaid,Immediately,2 Months,1,22-05-2023
1847,IEC INTERN,Full Time,Kurawar Municipal Council,09-05-2023,Rajgarh,Madhya Pradesh,Unpaid,Immediately,02 Months,3,31-05-2023
1848,SWACHH BHARAT MISSION INTERNS,Full Time,MOUNICIPAL COUNCIL RAU,09-05-2023,Indore,Madhya Pradesh,Unpaid,Immediately,5 Months,2,25-05-2023
1849,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Part Time,NAGAR PANCHAYAT BEHAT,09-05-2023,Saharanpur,Uttar Pradesh,Unpaid,Immediately,4 Weeks,1,09-05-2023
1850,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Palika Parshad Chandpur District Bijnor.,09-05-2023,Bijnor,Uttar Pradesh,15000 /month,Immediately,2 Months,1,10-08-2024
1851,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Palika Parshad Chandpur District Bijnor.,09-05-2023,Bijnor,Uttar Pradesh,15000 /month,Immediately,2 Months,1,10-08-2024
1852,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Panchayat Karhal,10-05-2023,Karhal,Uttar Pradesh,Unpaid,Immediately,1 Weeks,5,12-05-2023
1853,DOOR TO DOOR GARBAGE COLLECTION,Full Time,Nagar Parishad Rajgarh Dhar,10-05-2023,Dhar,Madhya Pradesh,5000 /month,Immediately,2 Weeks,1,15-05-2023
1854,SWACHH BHARAT MISSION INTERNS,Full Time,Saharanpur Nagar Nigam,10-05-2023,Saharanpur,Uttar Pradesh,Unpaid,Immediately,2 Weeks,15,15-05-2023
1855,SOLID WASTE MANAGEMENT,Part Time,Nagar Panchayat Rabupura,10-05-2023,Gautam Buddha Nagar,Uttar Pradesh,Unpaid,Immediately,2 Months,1,30-05-2023
1856,TECHNICAL  SUPPORT,Full Time,Nagar Panchayat Gangapur Varanasi,10-05-2023,Varanasi,Uttar Pradesh,Unpaid,Immediately,3 Months,2,31-01-2024
1857,OFFICE MANEGMENT,Part Time,Nagar Palika Parishad Kushinagar,10-05-2023,Kushinagar,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-05-2023
1858,INTERNS FOR ASSISTING IN SANITATION SWACHH BHARAT MISSION (URBAN)  PANDHURNA,Full Time,MUNICIPAL COUNCIL PANDHURNA,10-05-2023,Pandhurna,Madhya Pradesh,6000 /month,Immediately,2 Months,1,31-05-2023
1859,SOLID WASTE MANAGEMENT INTERN 2023,Full Time,Secunderabad Cantonment Board,10-05-2023,Hyderabad,Telangana,Unpaid,Immediately,2 Months,20,30-06-2023
1860,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Full Time,Nagar Palika Parishad Khalilabad,10-05-2023,Sant Kabir Nagar,Uttar Pradesh,Unpaid,Immediately,1 Months,1,15-05-2023
1861,SANITATION AND SOLID WASTE MANAGEMENT,Full Time,Municipal Corporation Khandwa,10-05-2023,Khandwa,Madhya Pradesh,10000 /month,Immediately,1 Months,8,30-05-2023
1862,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Full Time,Nagar Panchayat Hariharpur,10-05-2023,Sant Kabir Nagar,Uttar Pradesh,Unpaid,Immediately,1 Months,1,20-05-2023
1863,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Part Time,Nagar Panchayat Joya,10-05-2023,Amroha,Uttar Pradesh,Unpaid,Immediately,2 Months,1,18-05-2023
1864,SBMU INTERNS IN ABOHAR,Full Time,Municipal Corporation Abohar,10-05-2023,Abohar,Punjab,12000 /month,Immediately,2 Months,6,30-05-2023
1865,"IEC, SOLID WASTE MANAGMENT IN CHICHOLI",Full Time,Nagar Parishad Chicholi District Betul M.P.,10-05-2023,Chicholi,Madhya Pradesh,Unpaid,Immediately,2 Weeks,1,20-05-2023
1866,SBM INTERNSHIP,Full Time,Deolali Pravara Municipal Council,10-05-2023,Deolali Pravara,Maharashtra,Unpaid,Immediately,2 Months,1,25-05-2023
1867,SOLID WASTE MANAGEMENT,Full Time,nagar palika parishad mongarabadshahpur,10-05-2023,Jaunpur,Uttar Pradesh,Unpaid,Immediately,1 Months,1,15-05-2023
1868,SBM INTERNSHIP,Full Time,NAGAR PANCHAYAT SIKANDARPUR,10-05-2023,Sikandarpur,Uttar Pradesh,Unpaid,Immediately,1 Months,1,15-05-2023
1869,SWACHH BHARAT MISSION INTERNS,Part Time,Nagar Panchayat Lalganj Pratapgarh,10-05-2023,Pratapgarh,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-05-2023
1870,JUMC SWACHH INTERNA,Full Time,Junagadh Municipal Corporation Gujarat,10-05-2023,Junagadh,Gujarat,8000 /month,Immediately,2 Months,8,20-06-2023
1871,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Full Time,Nagar Panchayat Gosaiganj Lucknow,10-05-2023,Lucknow,Uttar Pradesh,Unpaid,Immediately,1 Months,1,15-05-2023
1872,IEC FOR SOLID WASTE MANAGEMENT,Full Time,Khilchipur,10-05-2023,Khilchipur,Madhya Pradesh,Unpaid,Immediately,2 Months,1,30-05-2023
1873,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Part Time,NP Ujhari,10-05-2023,Amroha,Uttar Pradesh,Unpaid,Immediately,2 Months,1,10-05-2023
1874,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Full Time,Nagar Panchayat Makkhanpur,10-05-2023,Firozabad,Uttar Pradesh,Unpaid,Immediately,2 Months,2,20-05-2023
1875,SOLID WASTE MANAGEMENT INTERN,Full Time,Mahabubnagar Municipality,10-05-2023,Mahabubnagar,Telangana,5000 /month,Immediately,2 Months,6,31-05-2023
1876,SBM IEC INTERN,Part Time,Municipal Council Sihora,10-05-2023,Sihora,Madhya Pradesh,Unpaid,Immediately,1 Months,3,20-05-2023
1877,SBM INTERNSHIP,Full Time,Kanpur Municipal Corporation,10-05-2023,Kanpur,Uttar Pradesh,5000 /month,Immediately,6 Weeks,17,17-05-2023
1878,SBM INTERNSHIP COMMUNICATION,Part Time,Nagar Parishad Dindori,10-05-2023,Dindori,Madhya Pradesh,Unpaid,Immediately,1 Months,15,31-05-2023
1879,SBM INTERNSHIP,Virtual Internship,Nagar Parishad Dindori,10-05-2023,Dindori,Madhya Pradesh,Unpaid,Immediately,1 Months,15,31-05-2023
1880,IEC INTERN,Full Time,Chhapiheda Municipal Council,10-05-2023,Rajgarh,Madhya Pradesh,Unpaid,Immediately,2 Months,1,30-05-2023
1881,SBM INTERNSHIP VIRTUAL,Virtual Internship,Nagar Parishad Dindori,10-05-2023,Dindori,Madhya Pradesh,Unpaid,Immediately,1 Months,15,31-05-2023
1882,SWACHH BHARAT MISSION INTERNSHIP,Full Time,NAGAR PALIKA PARISHAD BINA ETAWA,10-05-2023,Bina,Madhya Pradesh,Unpaid,Immediately,1 Months,1,11-05-2023
1883,SOLID WASTE MANAGEMENT INTERN 2023,Full Time,NPP Shikohabad,10-05-2023,Shikohabad,Uttar Pradesh,Unpaid,Immediately,2 Months,1,21-05-2023
1884,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Part Time,NAGAR PANCHAYAT BEHAT,11-05-2023,Saharanpur,Uttar Pradesh,Unpaid,Immediately,4 Weeks,1,11-05-2023
1885,SBM URBAN,Full Time,NAGAR PANCHAYAT SULTANPUR CHILKANA,11-05-2023,Saharanpur,Uttar Pradesh,3000 /month,Immediately,3 Months,1,25-05-2023
1886,SWM INTER IN MC PHAGWARA,Full Time,Municipal Corporation Phagwara,11-05-2023,Phagwara,Punjab,12000 /month,Immediately,2 Months,2,20-06-2023
1887,SBM INTERNSHIP TULIP MC AMRITSAR,Full Time,Municipal Corporation Amritsar,11-05-2023,Amritsar,Punjab,12000 /month,Immediately,2 Months,11,25-06-2023
1888,2 MONTH INTERNSHIP IN SWATCHH BHARAT MISSION IN RAJKOT,Full Time,Rajkot Smart City Development Limited,11-05-2023,Rajkot,Gujarat,Unpaid,Immediately,2 Months,11,22-05-2023
1889,SWM INTER IN ZIRA,Full Time,MC Zira,11-05-2023,Zira,Punjab,12000 /month,Immediately,2 Months,1,25-05-2023
1890,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Palika Parishad Sherkot,11-05-2023,Bijnore,Uttar Pradesh,Unpaid,Immediately,2 Months,1,24-05-2023
1891,SWM INTER IN FATEHGARH PANJTOOR,Full Time,NP Fatehgarh Panjtoor,11-05-2023,Fatehgarh Panjtoor,Punjab,12000 /month,Immediately,2 Months,1,26-05-2023
1892,SWM INTER IN GURUHARSAHAI,Full Time,MC guruharsahai,11-05-2023,Guruharsahai,Punjab,12000 /month,Immediately,2 Months,1,02-06-2023
1893,SBM INTERN MALLANWALA KHAS,Full Time,NP Mallanwala Khas,11-05-2023,Ferozepur,Punjab,12000 /month,Immediately,1 Months,1,11-05-2023
1894,SOLID AND LIQUID WASTE MANAGEMENT,Full Time,dongar parasiya,11-05-2023,Chhindwara,Madhya Pradesh,3000 /month,Immediately,2 Months,2,22-05-2023
1895,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Part Time,NAGAR PANCHAYAT MAHONA LUCKNOW,11-05-2023,Mahona,Uttar Pradesh,Unpaid,Immediately,1 Months,1,15-05-2023
1896,SWM INTER IN MAKHU,Full Time,NP Makhu,11-05-2023,Makhu,Punjab,12000 /month,Immediately,2 Months,1,15-05-2023
1897,SANITATION AND SOLID WASTE MANAGEMENT INTERN,Full Time,Nagar Panchayat Radhakund,11-05-2023,Mathura,Uttar Pradesh,Unpaid,Immediately,1 Months,1,24-05-2023
1898,SWM INTER IN MC SULTANPUR LODHI,Full Time,Municipal Council Sultanpur Lodhi,11-05-2023,SultanpurLodhi,Punjab,12000 /month,Immediately,2 Months,1,01-06-2023
1899,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Panchayat Jhalu,11-05-2023,Bijnore,Uttar Pradesh,Unpaid,Immediately,2 Months,1,24-05-2023
1900,INTERNSHIP FOR SWACHH BHARAT MISSION IN SANGRUR,Full Time,Municipal Council Sangrur,11-05-2023,Sangrur,Punjab,12000 /month,Immediately,2 Months,2,21-06-2023
1901,SANITATION AND SOLID WASTE MANAGEMENT INTERN,Full Time,NAGAR PANCHAYAT SAUNKH,11-05-2023,Mathura,Uttar Pradesh,Unpaid,Immediately,1 Months,1,25-05-2023
1902,INTERS FOR MUNICIPAL COUNCIL JAGRAON UNDER SWACHH BHARAT MISSION,Full Time,Municipal Council Jagraon,11-05-2023,Jagraon,Punjab,12000 /month,Immediately,2 Months,2,05-12-2023
1903,SANITATION AND SOLID WASTE MANAGEMENT INTERN,Full Time,NAGAR PANCHAYAT RAYA MATHURA,11-05-2023,Mathura,Uttar Pradesh,Unpaid,Immediately,1 Months,1,24-05-2023
1904,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,DHAMPUR MUNICIPAL CORPORATION,11-05-2023,Dhampur,Uttar Pradesh,Unpaid,Immediately,2 Months,1,22-05-2023
1905,SANITATION AND SOLID WASTE MANAGEMENT INTERN,Full Time,NAGAR PANCHAYAT FARAH,11-05-2023,Mathura,Uttar Pradesh,Unpaid,Immediately,1 Months,1,26-05-2023
1906,SBM INTERNSHIP,Full Time,dongar parasiya,11-05-2023,Chhindwara,Madhya Pradesh,3000 /month,Immediately,2 Months,1,24-05-2023
1907,SANITATION AND SOLID WASTE MANAGEMENT INTERN,Full Time,Barsana Nagar Panchayat,11-05-2023,Barsana,Uttar Pradesh,Unpaid,Immediately,1 Months,1,25-05-2023
1908,CANDIDATE SHOULD HAVE GOOD COMMUNICATION SKILL AND COMPUTER KNOWLEDGE AND EXPERT IN MOBILE APPLICATION . HUMBLE AND PROFESSIONAL CANDIDATE WILL GET PRIORITY .CANDIDATE SHOULD HAVE GOOD COMMUNICATION SKILL AND COMPUTER KNOWLEDGE AND EXPERT IN MOBILE APPLICATION . HUMBLE AND PROFESSIONAL CANDIDATE WILL GET PRIORITY,Full Time,Baldeo Nagar Panchayt,11-05-2023,Mathura,Uttar Pradesh,Unpaid,Immediately,1 Months,1,28-05-2023
1909,SBM INTERNSHIP FEROZEPUR,Full Time,MC Ferozepur,11-05-2023,Ferozepur,Punjab,12000 /month,Immediately,2 Months,6,28-05-2023
1910,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Part Time,NAGAR PANCHAYAT MAHONA LUCKNOW,11-05-2023,Mahona,Uttar Pradesh,Unpaid,Immediately,1 Months,1,15-05-2023
1911,SWACHH BHARAT MISSION INTERNS,Full Time,MUNICIPAL COUNCIL PIPLODHA,11-05-2023,Ratlam,Madhya Pradesh,Unpaid,Immediately,2 Weeks,2,31-05-2023
1912,SWACCH BHARAT MISSION,Full Time,Nagar Panchayat Jahanaganj Bazar,11-05-2023,Azamgarh,Uttar Pradesh,Unpaid,Immediately,2 Months,2,15-05-2023
1913,SANITATION AND SOLID WASTE MANAGEMENT INTERN,Full Time,NAGAR PANCHAYAT NANDGAON,11-05-2023,Mathura,Uttar Pradesh,Unpaid,Immediately,1 Months,1,24-05-2023
1914,COMPUTER OPERATOR(INTERN),Full Time,nagar panchayat umri kalan,11-05-2023,Moradabad,Uttar Pradesh,Unpaid,Immediately,3 Months,1,31-05-2023
1915,CLERK CUM DATA OPERATOR,Full Time,Nagar Panchayat Jasrana,11-05-2023,Jasrana,Uttar Pradesh,Unpaid,Immediately,2 Months,1,20-05-2023
1916,IEC INTERN,Part Time,Nagar Palika parishad gola gokarannath,11-05-2023,Kheri,Uttar Pradesh,Unpaid,Immediately,2 Months,2,31-05-2023
1917,SWACHH BHARAT MISSION,Part Time,nagar  palika parishad shamli,11-05-2023,Shamali,Uttar Pradesh,Unpaid,Immediately,2 Months,5,01-06-2023
1918,SANITATION AND SOLID WASTE MANAGEMENT,Full Time,Nagar Palika Parishad Nehtaur,11-05-2023,Bijnor,Uttar Pradesh,Unpaid,Immediately,12 Months,1,30-01-2025
1919,IEC INTERN,Part Time,Nagar Panchayat Mailani,11-05-2023,Kheri,Uttar Pradesh,Unpaid,Immediately,2 Months,1,31-05-2023
1920,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Palika Parishad Nehtaur,11-05-2023,Bijnor,Uttar Pradesh,Unpaid,Immediately,2 Months,1,30-11-2024
1921,SANITATION AND SOLID WASTE MANAGEMENT,Full Time,Nagar Panchayat Jalalabad,11-05-2023,Bijnore,Uttar Pradesh,Unpaid,Immediately,2 Months,1,15-05-2023
1922,SBM INTERNSHIP,Full Time,Raisen municipal council,11-05-2023,Raisen,Madhya Pradesh,8500 /month,Immediately,02 Months,2,01-06-2023
1923,WORKS RELATED TO SWACHH BHARAT MISSION-URBAN.,Full Time,NAGAR PALIKA PARISHAD GAJRAULA,11-05-2023,Gajraula,Uttar Pradesh,5000 /month,Immediately,12 Months,2,30-05-2023
1924,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Nagar Panchayat Chhutmalpur,11-05-2023,Saharanpur,Uttar Pradesh,Unpaid,Immediately,01 Months,1,25-05-2023
1925,SOLID WASTE MANAGEMENT TRAINEE,Part Time,Nagar Panchayat Gohand Hamirpur,11-05-2023,Gohand Hamirpur,Uttar Pradesh,Unpaid,Immediately,1 Months,1,30-05-2023
1926,"MUNICIPAL SOLID WASTE MANAGEMENT INTERN 2023  BHONGIR, TELANGANA",Full Time,BHONGIR,11-05-2023,Yadadri Bhuvanagiri,Telangana,Unpaid,Immediately,2 Months,2,01-06-2023
1927,FOR SUPPORT IN IEC AND BCC ACTIVITY,Full Time,Nagar Palika Parishad Khachrod,11-05-2023,Khachrod,Madhya Pradesh,Unpaid,Immediately,2 Months,2,25-05-2023
1928,PM SVANIDHI INTERNSHIP,Part Time,NAGAR PANCHAYAT SULTANPUR CHILKANA,11-05-2023,Saharanpur,Uttar Pradesh,3000 /month,Immediately,3 Months,1,20-05-2023
1929,SWACHH  BHARAT MISSION INTERNS MC GARHDIWALA,Full Time,Municipal Council Garhdiwala,12-05-2023,Garhdiwala,Punjab,12000 /month,Immediately,2 Months,1,01-06-2023
1930,SWACHH BHARAT MISSION INTERNS MC URMAR TANDA,Full Time,Municpal Council Urmar Tanda,12-05-2023,Hoshiarpur,Punjab,12000 /month,Immediately,2 Months,1,30-06-2023
1931,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Part Time,Nagar Palika Paishad Fatehpur Sikri,12-05-2023,Agra,Uttar Pradesh,Unpaid,Immediately,2 Months,1,20-05-2023
1932,SWACHH BHARAT MISSION INTERNS,Part Time,NP Ramganj,12-05-2023,Pratapgarh,Uttar Pradesh,Unpaid,Immediately,2 Months,2,30-05-2023
1933,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Part Time,Nagar Panchayat Jagner,12-05-2023,Agra,Uttar Pradesh,Unpaid,Immediately,2 Months,1,18-05-2023
1934,DIGITAL MEDIA OUTREACH,Part Time,NAGAR PALIKA PARISHAD NOWGONG,12-05-2023,Chhatarpur,Madhya Pradesh,2000 /month,Immediately,10 Months,2,30-05-2023
1935,SWACHH BHARAT MISSION INTERNS IN MC HOSHIARPUR,Full Time,Municipal Corporation Hoshiarpur,12-05-2023,Hoshiarpur,Punjab,12000 /month,Immediately,2 Months,6,10-06-2023
1936,SBM INTERNSHIP,Full Time,NAGAR PANCHAYAT SHOHRATGARH,12-05-2023,Siddharthnagar,Uttar Pradesh,Unpaid,Immediately,8 Weeks,1,15-05-2023
1937,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Part Time,Nagar Panchayat Fatehabad,12-05-2023,Agra,Uttar Pradesh,Unpaid,Immediately,2 Months,1,18-05-2023
1938,IEC EXPERT,Full Time,Nagar Panchayat Chandauli,12-05-2023,Chandauli,Uttar Pradesh,Unpaid,Immediately,6 Months,1,15-05-2023
1939,SWACHH BHARAT MISSION INTERNS,Full Time,Nagar Palika Parishad Khatauli,12-05-2023,Muzaffarnagar,Uttar Pradesh,Unpaid,Immediately,2 Months,2,31-05-2023
1940,IEC INTERN,Full Time,Nagar Panchayat Saiyadraja,12-05-2023,Chandauli,Uttar Pradesh,Unpaid,Immediately,6 Months,1,15-05-2023
1941,SBM-U INTERNSHIP (TULIP),Full Time,Kadapa Municipal Corporation,12-05-2023,Cuddapah,Andhra Pradesh,Unpaid,Immediately,2 Months,5,13-05-2023
1942,IEC INTERN,Full Time,Nagar Panchayat Chakia,12-05-2023,Chakia,Uttar Pradesh,Unpaid,Immediately,6 Months,1,15-05-2023
1943,SOLID WASTE MANAGEMENT,Full Time,nagar palika parishad shahganj,12-05-2023,Shahganj,Uttar Pradesh,Unpaid,Immediately,1 Months,1,16-05-2023
1944,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Part Time,Nagar Panchayat Auras Unnao,12-05-2023,Unnao,Uttar Pradesh,Unpaid,Immediately,1 Months,1,31-05-2023
1945,IEC INTERN,Part Time,Nagar palika parisad palia kalan,12-05-2023,Kheri,Uttar Pradesh,Unpaid,Immediately,2 Months,1,31-05-2023
1946,SBM-U INTERNSHIP (TULIP) BTECH AND BPLAN,Full Time,Kadapa Municipal Corporation,12-05-2023,Cuddapah,Andhra Pradesh,Unpaid,Immediately,2 Months,10,30-05-2023
1947,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,NAGAR PANCHAYAT NANAUTA,12-05-2023,Saharanpur,Uttar Pradesh,Unpaid,Immediately,1 Months,1,12-05-2023
1948,SWACHH BHARAT MISSION INTERNS,Full Time,Nagar Palika Parishad Sendhwa,12-05-2023,Sendhwa,Madhya Pradesh,Unpaid,Immediately,3 Months,2,30-05-2023
1949,SWACHH BHARAT MISSION INTERNS,Full Time,Nagar Parishad Pansemal,12-05-2023,Badwani,Madhya Pradesh,Unpaid,Immediately,4 Months,1,30-05-2023
1950,IEC INTERN,Part Time,Nagar Panchayat Oel Dhakwa,12-05-2023,Lakhimpur,Uttar Pradesh,Unpaid,Immediately,2 Months,1,31-05-2023
1951,SWACCH BHARAT MISSION,Part Time,NAGAR PANCHAYAT SISAULI,12-05-2023,Muzaffarnagar,Uttar Pradesh,Unpaid,Immediately,2 Months,1,30-05-2023
1952,SWACHH BHARAT MISSION INTERNS,Full Time,NAGAR PARISHAD KHETIA,12-05-2023,Khetia,Madhya Pradesh,Unpaid,Immediately,3 Months,1,31-05-2023
1953,SWACHH BHARAT MISSION INTERNS,Part Time,Nagar Panchayat Nidhauli kalan 801264,12-05-2023,Etah,Uttar Pradesh,Unpaid,Immediately,2 Months,1,20-05-2023
1954,SWM INTER IN DINANAGAR,Full Time,MC Dinanagar,12-05-2023,Gurdaspur,Punjab,12000 /month,Immediately,2 Months,1,05-06-2023
1955,COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION-URBAN 2.0,Full Time,"NAGAR PANCHAYAT KADAURA ,DISTRICT JALAUN",12-05-2023,Jalaun,Uttar Pradesh,Unpaid,Immediately,2 Months,1,14-05-2023
1956,SWACHH BHARAT MISSION INTERNS IN MC DASUYA,Full Time,Municipal Council Dasuya,12-05-2023,Hoshiarpur,Punjab,12000 /month,Immediately,2 Months,1,06-06-2023
1957,ELECTRICAL SUPERVISOR,Full Time,NAGAR PALIKA PARISHAD NAGINA,12-05-2023,Nagina,Uttar Pradesh,Unpaid,Immediately,2 Months,1,24-05-2023
